                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94889,                0.51777,                 1.1635,                0.81969,                0.66016,                0.72771,                0.37558,                 1.5118,                0.76753,                 1.7015,             0.00065686,             0.00065686,             0.00065686
                      2,                0.96887,                0.56798,                 1.1955,                0.86236,                0.64618,                0.73272,                 0.3782,                 1.5278,                0.79017,                 1.7122,              0.0013209,              0.0013209,              0.0013209
                      3,                  1.034,                0.59199,                 1.2037,                0.81553,                0.64769,                0.72473,                0.35554,                 1.6118,                0.85345,                 1.8263,              0.0019823,              0.0019823,              0.0019823
                      4,                 1.0695,                0.62051,                 1.2132,                0.80417,                 0.6539,                0.73691,                0.36572,                 1.6133,                0.84589,                 1.7751,              0.0019881,              0.0019881,              0.0019881
                      5,                 1.1069,                0.64135,                 1.2485,                0.79997,                0.66997,                0.73156,                0.36636,                 1.5442,                0.83901,                 1.7114,              0.0019842,              0.0019842,              0.0019842
                      6,                 1.0699,                0.60735,                 1.2539,                0.83851,                0.63944,                0.70715,                0.35618,                 1.5833,                0.84398,                 1.7698,              0.0019802,              0.0019802,              0.0019802
                      7,                 1.1559,                0.63958,                 1.2501,                0.81451,                0.65215,                0.73589,                0.36809,                  1.566,                0.82365,                 1.7333,              0.0019762,              0.0019762,              0.0019762
                      8,                 1.0789,                0.63783,                  1.237,                0.75086,                0.54043,                0.59119,                0.31192,                 1.5948,                 1.2749,                 1.7494,              0.0019723,              0.0019723,              0.0019723
                      9,                 1.0758,                0.63249,                 1.2679,                 0.8165,                0.59323,                0.70591,                0.36089,                 1.5578,                0.95706,                 1.7215,              0.0019683,              0.0019683,              0.0019683
                     10,                 1.0542,                0.59659,                 1.1933,                 0.8495,                0.65665,                0.74315,                0.38083,                  1.545,                0.82409,                  1.728,              0.0019644,              0.0019644,              0.0019644
                     11,                 1.0952,                0.65279,                 1.2766,                0.80211,                0.71567,                0.77105,                0.39213,                 1.5291,                0.77478,                 1.6768,              0.0019604,              0.0019604,              0.0019604
                     12,                  1.087,                0.62825,                 1.2354,                0.84373,                0.65038,                0.74759,                0.38945,                 1.4986,                0.74814,                 1.6813,              0.0019564,              0.0019564,              0.0019564
                     13,                 1.0563,                0.60076,                 1.2149,                0.88962,                0.65677,                0.76537,                0.39457,                 1.5022,                0.78657,                 1.6633,              0.0019525,              0.0019525,              0.0019525
                     14,                 1.0028,                0.59707,                 1.2017,                0.84471,                0.62459,                0.72695,                0.37418,                 1.5656,                0.88979,                 1.7222,              0.0019485,              0.0019485,              0.0019485
                     15,                 1.0885,                0.61747,                 1.2258,                0.79784,                0.69224,                0.75235,                0.39425,                 1.4972,                0.79228,                 1.6775,              0.0019446,              0.0019446,              0.0019446
